"sentence","event_type"
"Forming south of Diego Garcia, it intensified into a moderate tropical storm on 3 March.","Disaster"
"By the late spring of 1894, the United Mine Workers, which had a mere $2,600 in its treasury and a paid membership of 13,000, called a general strike in the bituminous coal mining industry.","None"
"When paralleling just off the coast of North Carolina, Gladys was responsible for breaking the state's worst drought since 1932, and proved more beneficial than the minor storm damage there.","Disaster"
"But despite major gains, the rebels failed to topple the government during the eight days of fighting and small scale clashes continued until 22 May, when the government launched a major offensive to retake the city, as Islamist forces had mostly withdrawn into the Central Region and the government was now backed by powerful warlord Indho Ade.","Attack"
"Thirteen people were killed by the blast, or died later from their injuries.","Injury"
"The most substantial impact was felt in Carnarvon where entire homes were washed away.","None"
"The Iranian government confirmed the deaths of 36 people during the protests, while unconfirmed reports by Mousavi supporters allege at least 72 deaths (over twice as many) in the three months following the election.","Injury"
"The government confirmed that the accident was caused by terrorists, making this attack Russia's deadliest outside the North Caucasus region since the 2004 Russian aircraft bombings.","Investigation"
"The poem may, therefore, represent the work of what has been termed the ""monastic party"" in Ethelred's court, which advocated a military response, rather than tribute, to all Norse attacks.","Attack"
"As she sank, her own depth charges detonated.","Attack"
"Whole indigenous societies were attacked and pushed off their lands by the gold-seekers, called ""forty-niners"" (referring to 1849, the peak year for Gold Rush immigration).","Attack"
"The Speaker of the National Assembly, Baleka Mbete and Chairperson of the National Council of Provinces, Thandi Modise, both of the ANC, were elected on 21 May 2014 by members of parliament.","None"
"A few more losses did not affect either fleet, when a sudden wind made it impossible for the Swedish navy to continue its pursuit of the Danish fleet, which was anchored to the Gotland coast to bury the Danish vice-admiral Christopher Morgisen on hallowed ground after his death from a cannonball.","Injury"
"The match was originally Jarrett versus Kevin Nash with Ortiz as referee, however Nash was not cleared to wrestle due to a medical emergency.","Protest"
"The Nag Hammadi massacre gained widespread international attention, and was condemned by Pope Benedict XVI, Lebanese MP Nadim Gemayel, Italian foreign minister Franco Frattini, and Canadian foreign minister Lawrence Cannon.","Injury"
"Dorner killed four people and wounded three others.","Injury"
"It included 61 confirmed dates (one being an offset show in Malaysia) and spanned across the United States to Europe.","Investigation"
"Early in the day on October 19, an estimated 100 activists demonstrated outside the Washington headquarters of the U.S. Immigration and Customs Enforcement, an agency of the Department of Homeland Security.","Protest"
"The waves combined with heavy rain to inflict at least MXN$5 million (US$326,000) of damage on Michoacán's coastal installations.","None"
"In May 2012, a judge determined that Lane was competent to stand trial.","None"
"About 10,000 people were killed in the course of the Kurdish rebellion, with 1,200 of them being Kurdish political prisoners, executed in the last phases of the rebellion, mostly by the Iranian government.","Injury"
"Eugene reached hurricane status on July 24; it briefly peaked as a Category 2 hurricane the next day.","Disaster"
"As NDH forces lacked the strength to suppress the uprising, the Italian Army, which was not a target of the rebels, expanded its zone of influence to Lika and parts of Bosanska Krajina.","None"
"The Mark IV continued to fire on the two remaining German A7Vs, which withdrew.","None"
"On 18 March 2015, two unidentified gunmen entered a pub in Gothenburg, Sweden and began firing indiscriminately at people inside the restaurant.","Investigation"
"MAKS (, ) is an international air show held at Zhukovsky International Airport, the home of the Gromov Flight Research Institute in Zhukovsky, southeast of Moscow, Russia.","None"
"Zelda caused significant damage to the Marshall Islands.","None"
"On December 23, 1978, it crashed into the Tyrrhenian Sea about north of Palermo while on approach.","Disaster"
"The highest official total was at Choluteca in southern Honduras, which was more than half of the annual precipitation average there.","None"
"After a 10 year run, Apple confirmed to Music Business Worldwide that it will no longer host any music festivals.","Investigation"
"Overall, damage from Dot across Hawaii totaled US$6 million, and a disaster area declaration and state of emergency took effect for the archipelago after the hurricane's passage.","Disaster"
"On 5 November 2013, Dhaka Metropolitan Sessions Court sentenced 152 people to death and 161 to life imprisonment; another 256 people received sentences between three and ten years for their involvement in the mutiny.","Injury"
"Then its driver detonated the bomb after crashing it into the UN reception area.","Attack"
"The accident started during a safety test on an RBMK-type nuclear reactor, which was commonly used throughout the Soviet Union.","Disaster"
"The offensive began when the British VIII Corps, with three armoured divisions, attacked to seize the German-held Bourguébus Ridge, the area between Bretteville-sur-Laize and Vimont and to inflict maximum casualties on the Germans.","Attack"
"On 20 October, with Murad II personally observing the struggle, the Janissaries attacked and killed everyone left in the stockade.","Attack"
"As the ECAA lacked the resources of the much larger U.S. National Transportation Safety Board (NTSB), the Egyptian government asked the NTSB to handle the investigation.","Investigation"
"The action was fought as part of the blockade of Guadeloupe and neighbouring Martinique by a large British Royal Navy squadron, which was seeking to cut the islands off from contact and supplies from France by preventing the passage of shipping from Europe to the islands.","Attack"
"Runners-up Jim Furyk, Colin Montgomerie, and Phil Mickelson all failed to par the 72nd hole.","None"
"From the last series, Jason Gillespie, Matthew Hayden and Darren Lehmann had been dropped by Australia, while Damien Martyn was out with injury and Glenn McGrath was rested.","Injury"
"This Polish victory caused serious disruption for the Swedish hold on Central Poland.","Disaster"
"Gray died on April 19, 2015; his death was ascribed to injuries to his spinal cord.","Injury"
"On 5 August 2010, ten members of International Assistance Mission (IAM) Nuristan Eye Camp team were killed in Kuran wa Munjan District of Badakhshan Province in Afghanistan.","Injury"
"Cora was an unusual cyclone, maintaining an unusually low latitude for the Atlantic in August at high speeds, similar to the tracks of Tropical Storm Alma in 1974 and Tropical Storm Fran in 1990.","Disaster"
"The U.S. government eventually disbursed more than $1.6 billion () in reparations to 82,219 Japanese Americans who had been interned and their heirs.","None"
"A horde of Siberian Tatars, Voguls and Ostyaks massed at Mount Chyuvash to defend against invading Cossacks.","Attack"
"Czechoslovakia dissolved three years after the end of Communist rule, splitting peacefully into the Czech Republic and Slovakia in 1992.","None"
"The Sierre coach crash occurred on 13 March 2012 near Sierre, Switzerland, when a coach carrying school teachers and pupils crashed into a wall in the Sierre Tunnel.","Disaster"
"The protest was first called for by the Spanish ""Plataforma ¡Democracia Real YA!""","None"
"The next day, Ramle surrendered immediately, but the conquest of Lydda took longer and led to an unknown number of deaths; the Palestinian historian Aref al-Aref, the only scholar who tried to draw up a balance sheet for the Palestinian losses, estimated 426 Palestinians died in Lydda on 12 July, of which 176 in the mosque and 800 overall in the fighting.","Injury"
"The forty-three men and six women killed had their heads, feet, and hands cut off, making their identification difficult.","Injury"
"In the United States Virgin Islands, brief blackouts and damage reaching $200,000 (2000 USD) was reported.","Disaster"
"Early in its duration, Lili caused flooding in Central America that left thousands homeless and killed 14 people.","Injury"
"Their commercial and critical acclaim had been demonstrated during the Couldn't Stand the Weather Tour in 1984, when they had played before a sold-out audience at Carnegie Hall.","Protest"
"That number could not be confirmed; police did not give their own estimate.","Investigation"
"A Vickers Viscount flying the route crashed in Chase, Maryland, on May 12, 1959, with the loss of all on board.","Disaster"
"Following regulatory and administrative investigations, criminal trials and a subsequent appeal, on 15 December 2014 Craig Thomson, a former national secretary of the HSU and a former Labor politician, was found guilty in the Victorian County Court of thirteen charges of theft, and later convicted and fined 25,000.","Investigation"
"The demand to unify with Armenia began in a relatively peaceful manner in 1988; in the following months, as the Soviet Union disintegrated, it gradually grew into an increasingly violent conflict between Armenians and Azerbaijanis, resulting in claims of ethnic cleansing by both sides.","Attack"
"In response France authorized privateers to conduct attacks on American shipping, seizing numerous merchant ships, and ultimately leading the U.S. to retaliate.","Attack"
"The move provided the Croatian forces with a sizable stock of weaponsincluding 250 tanks, hundreds of artillery pieces and a large supply of small arms and ammunitionwhich proved crucial in defending against JNA advances in the early stage of the Croatian War of Independence.","None"
"Other Sardinian troops were captured in Sanluri, and much of the local Sardinian population was slaughtered in a plain which has taken the name of "" s'occidroxiu"" (""the slaughter"") ever since.","Injury"
"Milošević was indicted by the ICTY and charged with carrying out a genocidal campaign that included Bijeljina and other locations, but died during the trial.","Injury"
"The fourth single, ""Cercavo amore"", was certified Platinum disc.","Investigation"
"The storm was the first hurricane in the Gulf of Mexico to form in the month of July since 1959, and was the fifth tropical cyclone to form during the annual hurricane season.","Disaster"
"The Action of 6 April 1809 was a small naval battle fought between the French frigate and several British frigates, principally , as part of the blockade of Brest, France during the Napoleonic Wars.","Attack"
"As a result, the Japanese Navy had to relocate the Combined Fleet's forward base to the Palau Islands, and eventually to Indonesia, and the Fleet had begun clearing its major warships out of Truk before the ""Hailstone"" attack struck.","Attack"
"The IDF launched a ground invasion of Southern Lebanon.","Attack"
"The First Eritrean Civil War was fought from 1972 to 1974.","Attack"
"Damage from Cyclone Gretelle was heaviest near where it made landfall in Madagascar.","Disaster"
"The Široka Kula massacre was the killing of 41 civilians in the village of Široka Kula near Gospić, Croatia during the Croatian War of Independence.","Injury"
"However, the Peace of Augsburg arrangement is also credited to ending much Christian unity around Europe.","None"
"One person drowned in the surf near Malibu.","Injury"
"The storm traveled along a curving path south of Japan, absorbing the remnants of Tropical Storm Sonamu on August 15 before turning towards the west.","Disaster"
"A 73-year-old ethnic Indian Singaporean man, Aravindan Balakrishnan, and a 67-year-old Tanzanian woman, his wife, Chanda Pattni, had been investigated for slavery and domestic servitude.","Investigation"
"The attack killed 202 people (including 88 Australians, 38 Indonesians, 23 Britons, and people of more than 20 other nationalities).","Attack"
"Without any timeouts, Brady led his team down the field to set up kicker Adam Vinatieri's game-winning 48-yard field goal as time expired.","Injury"
"The accident killed 50 passengers and crew on board, with 23 passengers and crew surviving.","Injury"
"During the winter, Partisans inflicted heavy casualties on the Germans.","Injury"
"On 6 September, TWA Flight 741 from Frankfurt (a Boeing 707) and Swissair Flight 100 from Zürich (a Douglas DC-8) were forced to land at Dawson's Field.","None"
"For the tour's finale, Tohoshinki performed in the Tokyo Dome, making them the third Korean music act, and the first Korean pop group, to do so.","None"
"Gray's hospitalization and subsequent death resulted in an ongoing series of protests.","Injury"
"The heaviest destruction took place around the towns of Jacmel and Jérémie; one early report estimated that 1,500 had been killed at the latter.","Disaster"
"The Ma'alot massacre was a Palestinian terrorist attack that occurred in May 1974 and involved a two-day hostage-taking of 115 Israeli people which ended in the murders of over 25 hostages.","Injury"
"On the morning of Thursday, 12 December 1985, shortly after takeoff from Gander en route to Fort Campbell, the aircraft stalled, crashed, and burned about half a mile from the runway, killing all 248 passengers and 8 crew members on board.","Disaster"
"The ferry MV ""Princess Victoria"" was lost at sea in the North Channel east of Belfast with 133 fatalities, and many fishing trawlers sank.","Injury"
"The search and rescue response, crash recovery operation, and investigation by the Government of Canada took more than four years and cost $57 million CAD.","Investigation"
"The fight in the Sinai forms part of the classified Irregular Warfare Annex to the National Defense Strategy, which calls on the Department of Defense to use foreign internal defense principles, advise and assist tactics, and influence operations.","Attack"
"Casualties and damage were severe on both sides, and the defiance of the French ship was celebrated in both countries as a brave defence against overwhelming odds.","Disaster"
"Birendra's brother, Gyanendra, became king again after the massacre and the death of his nephew King Dipendra.","Injury"
"Locally referred to as the Essence Fest, it has been held in New Orleans, Louisiana since 1994 except for 2006, when it was held in Houston, Texas due to Hurricane Katrina's effect on New Orleans.","Disaster"
"Its victory humiliated Egypt, Jordan, and Syria, leading Nasser to resign in shame; he was later reinstated after protests in Egypt against his resignation.","Injury"
"On January 22, the storm intensified to tropical cyclone status while passing northwest of Réunion; there, Gretelle produced strong wind gusts and heavy rainfall in mountainous regions.","Disaster"
"Although it caused temporary alarm in the North, the raid was ultimately classed as a failure.","Attack"
"Several victims were ethnic Serbs suspected by the police of collaboration with Croatian authorities.","Disaster"
"He fired a total of 17 shots, killing two people and seriously wounding a third.","Injury"
"Delivering its judgement in 1995, the court found that the operation had been in violation of Article 2 of the European Convention on Human Rights as the authorities' failure to arrest the suspects at the border, combined with the information given to the soldiers, rendered the use of lethal force almost inevitable.","Injury"
"The storm brushed Bermuda with light rain, and wind gusts reached no more than 35 mph (55 km/h) as it made its closest point of approach to the territory.","Disaster"
"Several comprehensive studies on the total structural failure of this building were conducted with a focus on how the building responded to the earthquake's vibration.","Disaster"
"European Cyclists’ Federation owns the series name, and the ECF Board is the decision-making body for Velo-city.","None"
"In 2015, the Independent Police Complaints Commission reported that there was ""evidence of excessive violence by police officers, a false narrative from police exaggerating violence by miners, perjury by officers giving evidence to prosecute the arrested men, and an apparent cover-up of that perjury by senior officers"".","Investigation"
"This led to 19 injuries, including 4 stabbings, and 60 arrests with similar events occurring in England and Turkey in the aftermath of the riots.","Injury"
"Meanwhile some blacks organized to resist and protect, and some whites sought to lend aid to blacks, while the police department often turned a blind eye or worse.","None"
"The Beer Hall Putsch, also known as the Munich Putsch, and, in German, as the Hitlerputsch, Hitler-Ludendorff-Putsch, Bürgerbräu-Putsch or Marsch auf die Feldherrnhalle (""March on the Field Marshals's Hall""), was a failed coup d'état by the Nazi Party (NSDAP) leader Adolf Hitler—along with ""Generalquartiermeister"" Erich Ludendorff and other ""Kampfbund"" leaders—to seize power in Munich, Bavaria, which took place on 8–9 November 1923.","Injury"
"On 15 May, Cunningham signalled that ""the passage through the Mediterranean was clear"" and that convoys from Gibraltar to Alexandria could be started at once.","None"
"The Massacre of the Acqui Division, also known as the Cephalonia Massacre, was the mass execution of the men of the Italian 33rd Infantry Division ""Acqui"" by the Germans on the island of Cephalonia, Greece in September 1943, following the Italian armistice during the Second World War.","Attack"
"On September 1, Francelia reached hurricane status, shortly before re-curving west-southwest.","Disaster"
"The attack happened at about 6:30 pm local time.","None"
"James was Special Guest Referee for a Tag Team match between the team of Kip James and Monty Brown and the 3Live Kru (Konnan and Ron Killings), which the latter won.","None"
"Kopechne died inside the fully submerged car.","Injury"
"The Demonstration of 20 June 1792 () was the last peaceful attempt made by the people of Paris to persuade King Louis XVI of France to abandon his current policy and attempt to follow what they believed to be a more empathetic approach to governing.","Protest"
"Flooding and strong winds reached into northeastern Nicaragua, though damage was much less widespread than in neighboring Honduras.","Disaster"
"Heavy street fighting ensued, which included artillery and mortar shelling.","Attack"
"About 30% of the infrastructure in Bora-Bora was destroyed, as well as 309 homes and many yachts.","Disaster"
"It also announced that the Special Air Service (SAS) was being moved into South Armagh.","None"
"Attendance was mandatory for all the tribes that had signed treaties with the Confederate States government—Creek, Choctaw, Chickasaw, Seminole, Cherokee, Shawnee, Delaware, Wichita, Comanche, Great Osage, Seneca, and Quapaw.","None"
"Cambridge were the heavier of the crews and consisted of an all-British crew, while Oxford's boat included a Hungarian rower and an American cox.","None"
"Another, even more intense hurricane in pre-Columbian times (sometime between 1278 and 1438) left evidence that was detected in southern New Jersey by paleotempestological research.","Disaster"
"The fighting improved the safety of VRS lines of communication south of the Bosnian Serb capital of Banja Luka, and displaced between 30,000 and 40,000 people, in what foreign observers called ""the largest and most wretched single exodus"" of the Bosnian War.","Attack"
"The engagement took place in the Indian Ocean off the Seychelles archipelago, north of Madagascar.","Attack"
"Israeli Prime Minister Benjamin Netanyahu expressed his condolences for the Egyptian soldiers killed, and praised IDF troops for their preparedness and handling of the attack.","Attack"
"Upon reaching the warm waters of Caribbean Sea it began to organize and became a tropical depression on August 25.","Disaster"
"During the second show in Mexico, Spears left the stage after the sixth song due to a lightning storm; the show was canceled and angered the audience.","Disaster"
"He swam free, left the scene, and did not report the accident to the police until after 10a.m.","Disaster"
"Chinese authorities attempted to downplay the incident by limiting its presence on Chinese web portals, and a large number of discussion threads were censored.","Injury"
"At least 40 people required rescue, and four people were killed.","Injury"
"The Anglo-Ottoman War was a conflict that took place during the Napoleonic Wars between 1807 and 1809.","Attack"
"Snowy White (who was a session and tour musician with Pink Floyd in the 1970s, and was in the tour band for the original 1980–81 tour for ""The Wall"") and Dave Kilminster were the first musicians confirmed to be in Waters's touring band.","Investigation"
"Among the dead were the daughter, son-in-law and baby granddaughter of surveyor and aerial archaeology pioneer G. A. Beazeley.","Injury"
"An investigation panel was promptly established to investigate the accident.","Disaster"
"In addition, agriculture was extensively damaged, resulting in $1.84 million (1984 USD) in losses to crops.","Disaster"
"Summerfest attracts between 800,000 and 900,000 people each year, promoting itself as ""The World's Largest Music Festival"", a title certified by the Guinness World Records since 1999.","Investigation"
"Granada's problems began to worsen after Emir Yusuf III's death in 1417.","Injury"
"On 14 March, German Reich Chancellor Adolf Hitler ordered Schutzstaffel (SS) General Hans Kammler to fire V2 rockets to destroy the bridge.","Disaster"
"A gas alert was given on 25 April when the wind began to blow from the north-east and routine work was suspended; on 29 April, two German soldiers deserted and warned that an attack was imminent.","Attack"
"It did however destroy 30% of the houses in Tully.","Disaster"
"At least 29,000 homes and 2,500 businesses sustained damage from Carlotta, mostly in Oaxaca.","None"
"Mousavi announced he ""won't surrender to this manipulation"", before lodging an official appeal against the result to the Guardian Council on 14 June.","Protest"
"Numerous gasoline explosions in the sewer system and fires over four hours destroyed of streets.","Disaster"
"Several British were captured; no one was killed, but two Canadian militiamen were injured by black bears prior to the diplomatic compromise.","Injury"
"According to the EM-DAT International Disaster Database, Gafilo killed at least 363 people.","Injury"
"Arsenal manager Arsène Wenger described it as psychological boost to beat his opponents and felt the win showed that his team were ready for the upcoming season.","Protest"
"About 60 percent of homes were destroyed in Ebeye, leaving 6,000 people without residence.","Disaster"
"Roeder was found guilty of first-degree murder and two counts of aggravated assault on January 29, 2010, and sentenced on April 1, 2010, to life imprisonment without any chance of parole for 50 years.","Attack"
"The midget submarine attacks and subsequent bombardments are among the best-known examples of Axis naval activity in Australian waters during World War II, and are the only occasion in history when either city has come under attack.","Attack"
"Record-high tides and flooded rivers heavily damaged Woonsocket, Rhode Island.","Disaster"
"The explosion blew off both the inner and outer tube doors, ignited a fire, destroyed the bulkhead between the first and second compartments, damaged the control room, and incapacitated or killed the control room crew.","Attack"
"Initial Boer attacks were successful, and although British reinforcements later reversed these, the war continued for years with Boer guerrilla warfare, until harsh British counter-measures brought the Boers to terms.","None"
"After talks collapsed, elections were held and won by the army's candidate, General Liamine Zéroual.","Disaster"
"Hurricane Kathleen was a tropical cyclone that had a destructive impact in California.","Disaster"
"The Pakistan Cricket Board hoped that the success in the tournament would mean the return of international cricket to Pakistan.","Protest"
"Police suppressed the protests with tear gas and water cannons.","Protest"
"The storm also wrecked of crop fields.","Disaster"
"Later investigations determined that this was reasonable under the abnormal circumstances.","Investigation"
"The tour was commercially successful, and a recording of the concert at the Bournemouth International Centre was made for """", which was released on DVD in May 2012.","None"
"Planning of Vietnam GDB missions included providing coordinates with accuracy to the radar sites, handoff of the bomber from air controllers (e.g., a DASC) to the site, tracking the aircraft by radiating the bomber (e.g., activating the 400 Watt Motorola SST-181 X Band Beacon Transponder), and radioing of technical data from the aircrew to the radar site such as the airspeed/heading for the central to estimate wind speed on the bomb(s).","Attack"
"The storm tracked westward and weakened further, instead of approaching Florida and strengthening into a major hurricane.","Disaster"
"Both ARVN generals in the Mekong Delta, Le Van Hung and Nguyen Khoa Nam, committed suicide after the surrender.","Injury"
"Members of the Provisional Irish Republican Army (IRA) detonated two bombs during British military ceremonies in Hyde Park and Regent's Park, both in central London.","Attack"
"However, the inquiry was hindered by the British government's refusal to release key documents.","Investigation"
"The tributary nations of Aram-Damascus (often called Aram) and the Kingdom of Israel (often called Ephraim because of the main tribe) decided to break away.","Disaster"
"Not quite a war, the hostilities were limited to a few attacks on American civilians by a portion of the Winnebago (or Ho-Chunk) Native American tribe.","None"
"At one point she lifted her arm sharply and the bomb went off prematurely, injuring Doris Young while David Young was out of the room.","Injury"
"Seeking to take advantage of the opportunity, Pyrrhus took his army to Argos, being harried along the way by the Spartans.","Disaster"
"This proposal was unacceptable to the Egyptian authorities, and hence the NTSB continued to lead the investigation.","Investigation"
"The demonstrators hoped that the king would withdraw his veto and recall the ""Girondin"" ministers.","Protest"
"The Zanzibar Revolution ( ""Thawra Zanjibār"") occurred in 1964 and led to the overthrow of the Sultan of Zanzibar and his mainly Arab government by local African revolutionaries.","None"
"The KLA, formed in the early 1990s to fight against Serbian persecution of Kosovo Albanians, initiated its first campaign in 1995 when it launched attacks against Serbian law enforcement in Kosovo.","Attack"
"""Radio Okapi"" reported that four civilians were killed and 10 others were wounded in Bunagana on 4 November.","None"
"It then began to transition into a tropical cyclone.","None"
"Immediately before crashing into the river, it banked sharply left and clipped a taxi travelling west on the Huandong Viaduct (causing two more injuries), then the viaduct itself, with its left wing.","Disaster"
"These attacks resulted in a rout of the French left wing.","Attack"
"The exact timing of the death of the crew is unknown; several crew members are known to have survived the initial breakup of the spacecraft.","Injury"
"The hurricane continued to strengthen until it made landfall near East Matagorda Bay, Texas, with winds of , but rapidly weakened as it headed inland.","Disaster"
"Throughout its existence, Cyclone Sam brought heavy rainfall to a wide swath of northern Australia.","Disaster"
"The weapons' multiple safety interlocks prevented both a nuclear explosion and release of radioactive material.","Disaster"
"These British Empire victories of the Third Transjordan attack over Yildirim Army Group forces, followed two unsuccessful EEF attacks across the Jordan River in March and April 1918.","Attack"
"Security forces were not present and unlike previous protests, it ended peacefully.","Attack"
"He captured and killed Ibn Ajlan (Chief of Riyadh) after morning prayers, and Abdul Aziz held Ibn Ajlan's head and threw it to the people of Riyadh.","Injury"
"However, according to article 49 of the constitution, the President of Lebanon must receive two-thirds of the votes in the first session or an absolute majority of votes in subsequent sessions.","None"
"Corbet was severely wounded in the opening exchanges and subsequently died.","Injury"
"The ""Blog del Narco"", a blog that documents events and people of the Mexican Drug War anonymously, reported that the actual (unofficial) death toll may be more than 68 people.","Injury"
"While landing on runway 3 in a snow storm on December 20, 1983, it struck a snow plow on the runway.","Attack"
"The victory took the overall record in the event to 41–27 in Cambridge's favour.","None"
"The outer bands of Daisy produced strong winds and heavy surf in Bermuda, but caused no damage.","Disaster"
"The following day, Emilia made its closest approach to the Big Island of Hawaii, but subsequently weakened to below hurricane intensity.","Disaster"
"Tickets went on general sale on Friday 2 March, around 20,000 have been admitted for general release.","None"
"The first trial ended in a hung jury and the second ended in an acquittal.","None"
"His 2003 report criticised the Garda Síochána's investigation and said the investigators stopped their work prematurely.","Investigation"
"Moving steadily westward, the storm slowly intensified, attaining hurricane strength on September 24.","Disaster"
"The Los Alfaques disaster was a road accident and tanker explosion which occurred on 11 July 1978 in Alcanar, near Tarragona, in Spain.","Disaster"
"Occurring from 31 October to 4 November 1991, during the Croatian War of Independence, the operation was a Croatian victory and its success set the stage for follow-up advances by Croatian forces on Papuk Mountain in Operation Papuk-91 in late November and December.","Attack"
"The tour consisted of 108 shows in total, visiting the Americas, Europe, Asia, Africa, and Australia.","None"
"The missing persons inquiry which followed was one of the largest in the history of West Yorkshire Police, involving the search of around 1,750 buildings, underwater searches of thirty-two drainage wells, the draining of a two-mile section of canal and the halting of household waste collections.","Investigation"
"Several days later, the remnants of Danielle merged with a larger extratropical low and became indistinguishable.","None"
"In Virginia, the storm spawned three tornadoes, one of which destroyed two houses.","None"
"This contingency operation validated critical procedures for deployment, particularly the off-loading of equipment from floating prepositioning ships and its distribution to arriving soldiers.","Investigation"
"The last surviving player from the game was Manchester United goalkeeper Jack Crompton who died in July 2013 at the age of 91.","Injury"
"Three other hostages and a police officer were injured by police gunfire during the raid.","Attack"
"Although effects were lesser in Vanuatu, the country's northernmost islands experienced heavy flooding and beaches destroyed by high waves.","Disaster"
"The flames had been extinguished by the afternoon of 13 December 2005.","None"
"The ninth tropical storm and seventh hurricane and major hurricane of the season, Hattie originated from an area of low pressure that strengthened into a tropical storm over the southwestern Caribbean Sea on October 27.","Disaster"
"Web sites and blogs favourable to the opposition claimed that the rally was attended by 120,000 people.","None"
"In the middle of the service Umur Beg swept down on the congregation and the leaders of the crusade were killed, including the Patriarch, Martino Zaccaria, commander of the Papal galleys and the Venetian commander, Pietro Zeno.","Injury"
"Due to Kim alone, over 200 people died in Thailand, and an additional 100 were killed due to widespread flooding in Bangladesh.","Injury"
"Duggan telephoned his mother, Erica Duggan, 50 minutes before he died, apparently distressed about his involvement in it.","Injury"
"The new record of beat the old record of that had been set on 21 December 1972.","None"
"Five of the detainees have been positively identified as persons of special interest according to intelligence reports.","Investigation"
"The protesters were unable to congregate at Merdeka Stadium as many were forced to disperse by police who were heavily deployed throughout the city.","None"
"The genocides claimed the lives of 2.7 to 3 million Polish Jews and 1.8 to 2.77 million non-Jewish ethnic Poles, according to various sources such as Poland's Institute of National Remembrance.","Injury"
"The Ottoman defenders were also reinforced at this time, and both sides carried out training while manning the front lines and monitoring the open eastern flank.","None"
"Polls conducted from 1966 to 2004 found that up to 80 percent of Americans suspected that there was a plot or cover-up.","Investigation"
"The attacks by the Fifth Army further north from Poelcappelle to the French First Army boundary to close in on Houthoulst Forest succeeded but at the end of 9 October the front line near Passchendaele hardly changed.","Attack"
"According to the National Transportation Safety Board (NTSB), which investigated the cause of the collision, the Metrolink train ran through a red signal before entering a section of single track where the opposing freight train had been given the right of way by the train dispatcher.","Investigation"
"Tropical Storm Katrina was a short-lived, weak tropical cyclone that produced minor damage across areas previously devastated by Hurricane Mitch in 1998.","Disaster"
"New requirements to install smoke detectors in lavatories, strip lights marking paths to exit doors, and increased firefighting training and equipment for crew became standard across the industry, while regulations regarding evacuation were also updated.","None"
"It was Spain's deadliest accident since the 1983 crash of Avianca Flight 011.","Disaster"
"These villages were also recaptured by members of the security forces.","None"
"Both Serbia and Greece, utilizing the argument that the war had been prolonged, repudiated important particulars of the pre-war treaty and retained occupation of all the conquered districts in their possession, which were to be divided according to specific predefined boundaries.","Protest"
"The battle is historically significant as the first action in which aircraft carriers engaged each other, as well as the first in which the opposing ships neither sighted nor fired directly upon one another.","Attack"
"The force of the attack split the 2nd Infantry Division in half, and the KPA were able to penetrate to Yongsan, promoting a fight there.","None"
"During the battle, he rode to the safety of enemy lines, leaving the Bulgarian army to be crushed.","Attack"
"The bombing came at a time of economic problems and protests against Lukashenko's government.","Attack"
"While there was no question as to whether the drugs were in Hendrix's luggage, in order for the Crown to prove possession they had to show that he knew they were there.","Injury"
"Most of the fighting occurred at night, under heavy mortar fire, while the daylight hours were usually spent by the UN forces evacuating the dead and wounded, replacing the defending company, sending up resupplies and repairing the fortified positions.","Injury"
"were disposed of in the landfill, Atari officials later verified the numbers to be around 700,000 cartridges of various titles, including ""E.T.""","Investigation"
"The rains caused widespread river flooding and resulted in 32 mudslides.","Disaster"
"188 U.S. aircraft were destroyed; 2,403 Americans were killed and 1,178 others were wounded.","Disaster"
"On May 21, a grand jury indicted the officers on most of the original charges filed by Mosby with the exception of the charges of illegal imprisonment and false arrest, and added charges of reckless endangerment to all the officers involved.","Investigation"
"All the casualties were transferred to a hospital in Hwange, which is situated in the area.","None"
"The Battle of Raciborz took place in the Polish town of Raciborz, on 20 March 1241, during the Mongol invasion of Poland.","Attack"
"In 2015, the International Court of Justice ruled that the massacre in Voćin was not an example of genocide, and stated that Croatia has not produced sufficient evidence to substantiate its claim that Croats were killed by Serb forces in that locality in December 1991.","Injury"
"Iran demanded his return in order to stand trial for crimes that he was accused of committing during his reign.","Investigation"
"The most recent champion is OG, who are also the only team to win an International more than once.","None"
"It did so in northeastern North Carolina on August 23 with winds of about 90 mph (150 km/h).","None"
"The attack was planned and commanded by Lieutenant General John Monash, commander of the Australian Corps and Australian Imperial Force.","Attack"
"The massacre in 1790 described below, as well as the labor-hungry sandalwood trade, contributed to the site's decline.","Injury"
"The Siege of Fort Erie was one of the last and most protracted engagements between British and American forces during the Niagara campaign of the American War of 1812.","None"
"Flooding killed four people in the country, three of whom due to a home collapsing.","Disaster"
"Over of railways lines were washed out.","None"
"Moving northwestward, Alice strengthened rapidly as it neared the Mexican coastline, becoming a hurricane early the next day.","Disaster"
"By January 9, the storm intensified into a typhoon and attained its peak intensity the following day.","None"
"Dark Winter was focused on evaluating the inadequacies of a national emergency response during the use of a biological weapon against the American populace.","Investigation"
"The senior Luftwaffe officer responsible for the bombing, ""Generaloberst"" Alexander Löhr, was captured by the Yugoslavs at the end of the war and was tried and executed for war crimes, in part for his involvement in the bombing of Belgrade.","Attack"
"They were suspected of having facilitated the suicide bomber.","Investigation"
"Two electric commuter trains collided in fog and 32 people were killed, including the driver of the second train.","Injury"
